model,model_teff,model_logg,atmos,metallicity,av,J_mag,H_mag,K_mag,U_mag,B_mag,V_mag,I_mag,uvm2_mag,uvw1_mag,uvw2_mag,J_flux,H_flux,K_flux,U_flux,B_flux,V_flux,I_flux,uvm2_flux,uvw1_flux,uvw2_flux
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,1.0,-35.42145213822734,-36.39161385502502,-36.577788043972326,-29.133702164639477,-30.669199622689845,-32.23952579351714,-34.33746561016029,-19.648728799758693,-27.07090217926916,-24.45468237152093,46130.314813790246,40820.23042024564,18317.377338429957,1840.4623768682197,11503.542171398814,28639.654463670115,50175.781889763544,0.33727679516415054,270.8989097159683,32.52567879128687
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0,-35.699996932261875,-36.57844045168154,-36.689394848983945,-31.13079398379359,-32.07813441267012,-33.26591313413011,-34.856636120864145,-22.70311264687325,-28.790966144033057,-26.40252352967982,59621.697404248975,48484.85381657258,20300.46631190632,11581.46960142386,42111.964832597354,73709.37185016755,80939.84215377206,5.620047696217083,1320.787174444745,195.5972894195811
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.1,-35.671177369686745,-36.56022426470662,-36.6775946761221,-30.97584237277486,-31.9522264813998,-33.16635078345676,-34.80447573200845,-22.50081024438748,-28.645652188275676,-26.246788334672985,58059.93041876447,47678.1741646069,20081.028145205546,10041.140112231084,37500.95541395208,67250.84876635925,77143.29726338458,4.66464975536399,1155.3332191567542,169.4606055783172
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.2,-35.642363563926956,-36.54200982177466,-36.665795055689856,-30.82091602779608,-31.82644093437757,-33.066839746990475,-34.75238565700589,-22.2990203720798,-28.5009105747808,-26.09121577172738,56539.37309064942,46884.99117229727,19863.972105267185,8705.876242455388,33398.58855182097,61361.130920760006,73529.5939292819,3.873495818162935,1011.1384266319474,146.8384288182157
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.3,-35.613555509906256,-36.52379712261502,-36.65399598761764,-30.666014940903974,-31.700777607965087,-32.967380095518635,-34.700365785880166,-22.097723168883366,-28.356743753341078,-25.935803231272423,55058.929990882534,46105.07776818338,19649.27222271404,7548.35043833592,29748.3431888232,55989.87458852967,70089.70290633652,3.2179864431762955,885.4089074127118,127.25495821682206
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.4,-35.58475320252836,-36.50558616695414,-36.6421974718356,-30.51113910420473,-31.575236328733975,-32.86797189969721,-34.648416005805444,-21.896899840697017,-28.213153990649552,-25.7805482366011,53617.53502525437,45338.2107220943,19436.90281247851,6544.880475644702,26500.02424940516,51091.21330979811,66815.05143762093,2.6745756039385293,775.7253458256657,110.29928947733764
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.5,-35.55595663667702,-36.4873769545156,-36.63039950827361,-30.35628850986026,-31.44981691357504,-32.76861523005821,-34.596536201141134,-21.69653260442077,-28.070143358265863,-25.625448431567985,52214.15064298073,44584.17057981962,19226.838470677132,5674.942715831943,23609.049638229128,46623.35785052784,63697.499669091005,2.223862770290273,679.9918832045139,95.61648906194675
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.6,-35.52716580721619,-36.46916948502012,-36.618602096861295,-30.201463150084486,-31.324519169810934,-32.66931015701728,-34.54472625346713,-21.49660463341029,-27.92771372123022,-25.470501569604945,50847.76706682986,43842.7415988933,19019.054071519902,4920.750418776392,21035.81815001323,42548.23206819811,60729.318307296344,1.8498512014187292,596.3920888833152,82.89990789365359
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.7,-35.498380708990105,-36.450963758185544,-36.60680523752799,-30.046663017139576,-31.199342895312103,-32.570056750881356,-34.49298604161968,-21.297100004599272,-27.78586672735878,-25.315705503905047,49517.40154415931,43113.71168547646,18813.524764252412,4266.888408333335,18745.149048370033,38831.141445597284,57903.16745342783,1.539341381315786,523.3510217313309,71.88456048772358
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.8,-35.46960133682339,-36.43275977372687,-36.595008930202766,-29.89188810333222,-31.07428787861597,-32.47085508185651,-34.44131544172758,-21.098003647478865,-27.64460379725378,-25.16105817864304,48222.09761830444,42396.87233232029,18610.225970132906,3699.996552486193,16705.785133652167,35440.47134904104,55212.076550621656,1.2814344684112735,459.5025272445229,62.341420189080175
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,0.9,-35.44082768552115,-36.41455753135621,-36.58321317481444,-29.737138401009876,-30.949353899049118,-32.37170522005586,-34.389714327248996,-20.89930129507174,-27.503926115060764,-25.006557621115487,46960.92441975001,41692.01855778651,18409.13337944308,3208.495529265566,14889.952059399862,32347.41233370769,52649.425384905044,1.0671254083887947,403.6610368920134,54.072502405741126
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.5,ms,-0.75,1.0,-35.41205974986915,-36.39635703078281,-36.57141797129155,-29.58241390255698,-30.82454072685245,-32.27260723550756,-34.33818256900863,-20.70097943699453,-27.36383462000401,-24.852201934697533,45732.97597655483,40998.94884591285,18210.222948530234,2782.3492236745687,13272.967487987582,29525.710060961705,50208.92608339411,0.8889692063797978,354.7972405502767,46.906625876141185
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0,-35.71584365327999,-36.56840247436496,-36.697797907420714,-30.384778832254362,-31.80321702402413,-33.192485472917134,-34.85551017972925,-20.962196110488254,-28.236579031212038,-25.712492205651678,60498.27956338126,48038.66165994723,20458.191398083105,5825.827362496891,32691.778630009176,68889.27999323847,80855.94860801642,1.130767679905627,792.6436739910483,103.59774504039383
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.1,-35.68703380547646,-36.55018017890583,-36.68599540869779,-30.230551863447456,-31.6784841638255,-33.09302704406066,-34.80338556881888,-20.767253903332662,-28.099608371050202,-25.560014716954477,58914.07799127734,47239.1398747654,20237.004948216072,5054.36758651489,29143.748160313124,62859.116721094455,77065.87829557869,0.9449231823920097,698.6983760535776,90.0242075168034
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.2,-35.65822968868732,-36.53195964979793,-36.67419346127632,-30.076350225806287,-31.553873130886476,-32.99362032502271,-34.7513312880111,-20.572697928670173,-27.96317400271592,-25.407661160383732,57371.66298775517,46453.000342218336,20018.220049586733,4385.167314785145,25983.69993131475,57359.53032066434,73458.22328500215,0.7899036380831231,616.1919019982874,78.23802599498494
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.3,-35.62943129784945,-36.5137408867736,-36.662392065087,-29.922173905514214,-31.429383678193012,-32.894265390548576,-34.69934722559357,-20.378511850718564,-27.827275485421076,-25.255430218955908,55869.92421834939,45680.01781101689,19801.810516465135,3804.6581407846056,23168.889119100724,52343.602920092126,70023.9805777848,0.6605408529278274,543.6965529807931,68.00259843416491
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.4,-35.600638627880016,-36.49552388956216,-36.650591220060285,-29.76802288875056,-31.30501554900189,-32.794962315181905,-34.64743326700449,-20.184680310625968,-27.691912148607074,-25.1033206120271,54407.78107029961,44919.97084237431,19587.750449847357,3301.073799181534,20661.315023595227,47768.5856352044,66754.60209844283,0.5525442538554611,479.96685220389986,59.112818225729065
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.5,-35.57185167367659,-36.47730865788996,-36.63879092612634,-29.613897161686875,-31.180768476981484,-32.695711173272045,-34.59558929486797,-19.991188862884965,-27.55708309076288,-24.951331092149204,52984.1818510792,44172.64174512544,19376.014234302005,2864.210567596552,18427.190714294422,43595.52638447012,63641.9712011182,0.4623496016211341,423.9158176032293,51.390856639279605
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.6,-35.54307043011727,-36.45909519148035,-36.62699118321508,-29.45979671048322,-31.05664218635573,-32.5965120389815,-34.54381518902994,-19.798023915263187,-27.42278717891996,-24.799460442273407,51598.10300869529,43437.81651195823,19166.576534853466,2485.2195553398506,16436.47238434478,39788.93108182778,60678.38041385091,0.38699424682382133,374.594379640107,44.68251368950431
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.7,-35.51429489206073,-36.44088349005368,-36.61519199125615,-29.30572152128448,-30.93263639205115,-32.49736498629349,-34.49211082659445,-19.605172672201434,-27.289023048817107,-24.64770747326035,50248.54837316031,42715.28475673216,18959.412293897418,2156.426631187168,14662.441644805154,36316.45520084297,57856.51035412374,0.32401417597848764,331.1735206167582,38.8540602677209
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.8,-35.485525054346404,-36.422673553327336,-36.6033933501789,-29.15167158021667,-30.80875079984677,-32.39827008901972,-34.44047608196051,-19.4126230816003,-27.15578910572534,-24.49607102166139,48934.548418564074,42004.83965287483,18754.496728151968,1871.1763087294557,13081.334763202742,33148.622975633254,55169.40975291678,0.27135896570236007,292.92876980336774,33.78950494024273
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,0.9,-35.45676091179452,-36.4044653810157,-36.59159525991245,-28.997646873383296,-30.68498510652685,-32.29922742080822,-34.38891082685947,-19.220363784893483,-27.023083525920274,-24.34454994773961,47655.15954517412,41306.27787282537,18551.805325642144,1623.6963986859444,11672.013534084297,30258.571751256644,52610.47652791855,0.22732147040133716,259.2267385288546,29.388227915201487
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,0.5,ms,-0.75,1.0,-35.428002459206255,-36.38625897283015,-36.57979772038564,-28.843647386861658,-30.561339000036135,-32.20023705515131,-34.3374149303927,-19.0283840702886,-26.890904258786513,-24.193143133702954,46409.4633810243,40619.39952851813,18351.31384271664,1408.9806629137063,10415.673074420052,27621.819221077956,50173.43984976684,0.1904796440022152,229.5134223602407,25.562932524143005
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0,-35.70056378975583,-36.57863766451082,-36.69191004397532,-31.04371662831024,-32.04307991434276,-33.262327226148514,-34.854376213158694,-22.44648421128261,-28.722917178697614,-26.324298660928957,59652.83372446032,48493.661392127186,20347.548483917275,10688.892994210766,40774.036334501325,73466.33028862311,80771.54497611024,4.436991810425549,1240.5470973601116,182.00062716942904
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.1,-35.67174579223944,-36.56042015811342,-36.68010895799432,-30.88888527272531,-31.91732427341773,-33.16274145060942,-34.80222081506533,-22.246609286159597,-28.578572197256648,-26.169010361851235,58090.33487082894,47686.77725119933,20127.58445425398,9268.302228103996,36314.61541798772,67027.65671838154,76983.24805806938,3.690954207452277,1086.1136312404462,157.74571282440203
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.2,-35.64293354757143,-36.54220439965813,-36.668308424340786,-30.73407931989136,-31.791692186295833,-33.06320713278688,-34.75013574744684,-22.04720725649894,-28.434796791036284,-26.01387681759832,56569.0626029979,46893.39431830797,19910.0084402196,8036.700908116214,32346.598236111942,61156.1742812265,73377.38048816012,3.0716932630261686,951.4042822603636,136.74269886045022
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.3,-35.61412705067917,-36.523990388875085,-36.65650844294545,-30.57929875932811,-31.666183473337416,-32.9637243458803,-34.6981208999,-21.84825926535722,-28.29159330812599,-25.858895854564178,55087.92110985,46113.285423983216,19694.794406314348,6968.921648931214,28815.43162140964,55801.669797136296,69944.93400217543,2.5573999287924662,833.8418891173386,118.55278535027797
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.4,-35.585326296470065,-36.50577812549152,-36.644709013738776,-30.424543580602922,-31.54079794468332,-32.86429316292616,-34.64617615917128,-21.649747508384362,-28.14896388997482,-25.704065396970556,53645.84392337593,45346.22724210754,19481.916602092886,6043.151893776847,25672.662868823223,50918.39686355155,66677.35573789889,2.1300703441430993,731.1928591568623,102.79679607490712
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.5,-35.556531279831596,-36.48756760923178,-36.63291013665098,-30.269813773327016,-31.415535400373017,-32.76491365680521,-34.59430140919181,-21.451655173842074,-28.00691046070042,-25.549383457856617,52241.793127120996,44592.00022454218,19271.34955903026,5240.486269159023,22875.252681151924,46464.67665180441,63566.52470691521,1.7748310263509592,641.520545425531,89.14701448567672
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.6,-35.52774199563151,-36.46935883981733,-36.62111181161198,-30.115109327151757,-31.290395630466563,-32.66558590024989,-34.54249653111274,-21.253966384839693,-27.865434717073974,-25.394848131040725,50874.75858614444,43850.38853686902,19063.06808742201,4544.5387296449835,20384.966028609528,42402.53454247846,60604.72950640254,1.4793859729263867,563.1450515635889,77.32014727913557
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.7,-35.49895843871786,-36.45115181696675,-36.60931403855144,-29.96043023176492,-31.16537841517005,-32.566309965851744,-34.49076140334125,-21.056666143938454,-27.724538119214955,-25.240457583943403,49543.75719789454,43121.17999523496,18857.047273319087,3941.1064988647036,18167.832027682587,38697.3693681181,57784.64720437127,1.2335631865774257,494.6085655312199,67.0712582536187
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.8,-35.47018060391915,-36.43294654039571,-36.59751681739875,-29.805776476886944,-31.040483524964564,-32.46708592606908,-34.439095901576934,-20.859740280223505,-27.58422188202834,-25.086210051173538,48247.83216343729,42404.16600427116,18653.262475496886,3417.878882722751,16193.664966467652,35317.65232433648,55099.32333543835,1.0289423786167577,434.645450581297,58.1885373392235
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,0.9,-35.441408486044445,-36.41474300981702,-36.585720148083034,-29.651148052267207,-30.915710720738446,-32.3679138532347,-34.387499898848674,-20.663175398899124,-27.444486967415102,-24.93210382879123,46986.0522784729,41699.14149607794,18451.68932245682,2964.184957318992,14435.639507493248,32234.652876393757,52542.152947656934,0.8585490305532479,382.156431020408,50.488788727946094
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,2.0,ms,-0.75,1.0,-35.412642079883454,-36.3965412249406,-36.573924030533156,-29.496544947680263,-30.79105975392271,-32.268793819563676,-34.33597326555203,-20.46695883342638,-27.30533407728433,-24.778137269171005,45757.511243602574,41005.90487025024,18252.30370946204,2570.774936482121,12869.913898461593,29422.189230146465,50106.86264416101,0.7166027591004898,336.18630379753967,43.81353834454516
